Impatiens noli-tangere
Hieracium saxifragum
Erodium moschatum
Campylium stellatumprotensum
Geranium molle
Pleurozia purpurea
Sisymbrium strictissimum
Orthotrichum rupestre
Sykidion droebakense
Misopates orontium
Pyrola rotundifolia
Hypericum hirsutum
Veronica austriaca
Carex pauciflora
Cotoneaster horizontalis
Chaerophyllum prescottii
Campanula rapunculus
Hypericum humifusum
Hieracium rohacsense
Pseudobryum cinclidioides
Aglaothamnion hookeri
Carex paupercula
Prunella modularis
Juncus biglumis
Rubus grabowskii
Ambrosia psilostachya
Hieracium scandinavicum
Equisetum pratense
Saxifraga flagellaris
Fissidens gracilifolius
Cnestrum alpestre
Cnestrum glaucescens
Triticum aestivum
Fagus sylvatica
Cnestrum schisti
Carex pediformis
Coriandrum sativum
Dicranum brevifolium
Lobularia maritima
Malcolmia africana
Impatiens parviflora
Cotoneaster integerrima
Spergularia maritima
Cotoneaster integerrimus
Chaerophyllum temulum
Hieracium schmidtii
Fissidens gymnandrus
Erigeron uniflorus
Saxifraga foliolosa
Spergularia media
Prunella vulgaris
Parietaria judaica
Poa pratensis
Myrrhis odorata
Elytrigia atherica
Ambrosia trifida
Zygodon conoideus
Rubus gratus
Juncus bufonius
Bidens frondosa
Zygodon dentatus
Salix phylicifolia
Corydalis intermedia
Koeleria macrantha
Circaea alpina
Arachis hypogaea
Crataegus rhipidophylla
Cotoneaster laetevirens
Callicladium haldanianum
Scrophularia scopolii
Lophozia obtusa
Parietaria pensylvanica
Rhodomela confervoides
Phyllodoce caerulea
Cotoneaster lucidus
Androsace elongata
Salvia nemorosa
Spergularia rubra
Myosotis laxa
Juncus bulbosus
Racomitrium canescens
Dactylis polygama
Ceramium strictum
Astragalus frigidus
Berberis thunbergii
Prasiola stipitata
Circaea lutetiana
Alliaria petiolata
Typha latifolia
Elymus alaskanus
Rubus hallandicus
Catabrosa algida
Persicaria pensylvanica
Festuca nigrescens
Geranium palustre
Rubus hartmanii
Taraxacum molybdinum
Parthenocissus inserta
Circaea xintermedia
Crataegus sanguinea
Bryum acutiforme
Plagiothecium undulatum
Cotoneaster moupinensis
Zygodon rupestris
Circaea intermedia
Hypericum maculatum
Botrychium boreale
Cotoneaster multiflorus
Androsace septentrionalis
Spergularia salina
Anthemis ruthenica
Maianthemum bifolium
Cerastium brachypetalum
Meesia longiseta
Erythrodermis traillii
Bryum algovicum
Saxifraga granulata
Inula ensifolia
Bartramia halleriana
Zygodon viridissimus
Hieracium semicrispum
Myagrum perfoliatum
Cynodontium bruntonii
Meesia triquetra
Asperula orientalis
Bryum alpinum
Ranunculus acris
Geranium phaeum
Koeleria pyramidata
Cotoneaster niger
Bartramia ithyphylla
Lupinus luteus
Meesia uliginosa
Cotoneaster nigra
Juncus castaneus
Anagallis arvensis
Bryum amblyodon
Heracleum laciniatum
Rosa majalis
Silene latifolia
Blechnum spicant
Stellaria alsine
Hypericum montanum
Pterogonium gracile
