Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Parsonsia oligantha	oligantha	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Parsonsia	Parsonsia oligantha
Enicostema axillare	axillare	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Enicostema	Enicostema axillare
Exacum pallidum	pallidum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Exacum	Exacum pallidum
Exacum sessile	sessile	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Exacum	Exacum sessile
Faroa affinis	affinis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Faroa	Faroa affinis
Gentiana dahurica	dahurica	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana dahurica
Gentiana emodi	emodi	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana emodi
Gentiana spathulifolia	spathulifolia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana spathulifolia
Gentianella amarella amarella	amarella	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella amarella
Gentianella campestris	campestris	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella campestris
Gentianella detonsa	detonsa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianopsis	Gentianopsis detonsa
Gentianella foliosa	foliosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella foliosa
Irlbachia plantaginifolia	plantaginifolia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Irlbachia	Irlbachia plantaginifolia
Irlbachia pumila	pumila	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Irlbachia	Irlbachia pumila
Kopsia singapurensis	singapurensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Kopsia	Kopsia singapurensis
Lehmanniella splendens	splendens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Lehmanniella	Lehmanniella splendens
Lisianthus umbellatus	umbellatus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Lisianthus	Lisianthus umbellatus
Macrocarpaea thamnoides	thamnoides	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Macrocarpaea	Macrocarpaea thamnoides
Melodinus spireanus	spireanus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Melodinus	Melodinus spireanus
Motandra lujaei	lujaei	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Motandra	Motandra lujaei
Plumeria sericifolia	sericifolia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Plumeria	Plumeria sericifolia
Rhabdadenia biflora	biflora	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Rhabdadenia	Rhabdadenia biflora
Secamone delagoensis	delagoensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Secamone	Secamone delagoensis
Secamone filiformis	filiformis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Secamone	Secamone filiformis
Tetrapollinia caerulescens	caerulescens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Tetrapollinia	Tetrapollinia caerulescens
Huernia clavigera	clavigera	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Huernia	Huernia clavigera
Periploca		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Periploca	
Gentiana campestris	campestris	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana campestris
Gentiana scabrida	scabrida	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana scabrida
Trachelospermum lanyuense	lanyuense	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Trachelospermum	Trachelospermum lanyuense
